bm_name	bm_query	gen_exs	inf_typs	num_exs	rank	prefilter_counts	postfilter_counts	var_counts	arg_counts
			(Ord b1, Eq t1) => b1 -> t1 -> Maybe (t1)						
			(Ord b1, Ord t1) => b1 -> t1 -> Maybe (t1)						
both	(a -> b) -> (a, a) -> (b, b)	(\x -> case x of 'a' -> -3; ' ' -> 4; 'b' -> 0; 'A' -> 5; _ -> error "unhandled";) ('M','\766943') ==> (-3,-3)	(b1 -> c1) -> (b1 , b1) -> (c1 , c1)	1	1	82127	3637	2	2
			(Char -> b1) -> (Char , Char) -> (b1 , b1)						
			(b1 -> Int) -> (b1 , b1) -> (Int , Int)						
			(Char -> Int) -> (Char , Char) -> (Int , Int)						
			(Num c1) => (b1 -> c1) -> (b1 , b1) -> (c1 , c1)						
			(Ord c1) => (b1 -> c1) -> (b1 , b1) -> (c1 , c1)						
			(Eq c1) => (b1 -> c1) -> (b1 , b1) -> (c1 , c1)						
			(Ord b1) => (b1 -> c1) -> (b1 , b1) -> (c1 , c1)						
			(Eq b1) => (b1 -> c1) -> (b1 , b1) -> (c1 , c1)						
			(Num b1) => (Char -> b1) -> (Char , Char) -> (b1 , b1)						
both	(a -> b) -> (a, a) -> (b, b)	(\x -> case x of 'a' -> -3; ' ' -> 4; 'b' -> 0; 'A' -> 5; _ -> error "unhandled";) ('M','\766943') ==> (-3,-3)	(b1 -> t0) -> (b1 , b1) -> (t0 , t0)	2	1	9736	1307	2	2
		(\x -> case x of 'a' -> -0.5334076703783116; ' ' -> -32.90631812623529; 'b' -> 9.333978618052498; 'A' -> 21.22553022074667; _ -> error "unhandled";) ('j','\826403') ==> (-1.22195619064584,7.478895181171158)	(Char -> t0) -> (Char , Char) -> (t0 , t0)						
			(t0 -> t0) -> (t0 , t0) -> (t0 , t0)						
			(Eq t0) => (b1 -> t0) -> (b1 , b1) -> (t0 , t0)						
			(Num t0) => (b1 -> t0) -> (b1 , b1) -> (t0 , t0)						
			(Ord t0) => (b1 -> t0) -> (b1 , b1) -> (t0 , t0)						
			(Ord b1) => (b1 -> t0) -> (b1 , b1) -> (t0 , t0)						
			(Eq b1) => (b1 -> t0) -> (b1 , b1) -> (t0 , t0)						
			(Eq t0) => (Char -> t0) -> (Char , Char) -> (t0 , t0)						
			(Num t0) => (Char -> t0) -> (Char , Char) -> (t0 , t0)						
both	(a -> b) -> (a, a) -> (b, b)	(\x -> case x of 'a' -> -3; ' ' -> 4; 'b' -> 0; 'A' -> 5; _ -> error "unhandled";) ('M','\766943') ==> (-3,-3)	(t1 -> t1) -> (t1 , t1) -> (t1 , t1)	3	NO ANSWER	336	21	2	2
		(\x -> case x of 'a' -> -0.5334076703783116; ' ' -> -32.90631812623529; 'b' -> 9.333978618052498; 'A' -> 21.22553022074667; _ -> error "unhandled";) ('j','\826403') ==> (-1.22195619064584,7.478895181171158)	(Eq t1) => (t1 -> t1) -> (t1 , t1) -> (t1 , t1)						
		(\x -> case x of "" -> "\SI\"\EM\ETBH=(\425616"; "a" -> ""; "aa" -> ""; " " -> "17B\621481\b"; _ -> error "unhandled";) ("\DC4\478494\t","e\US&") ==> ("\883721iTx$\a","u\v")	(Ord t1) => (t1 -> t1) -> (t1 , t1) -> (t1 , t1)						
			(t1 -> t1) -> (t1 , t0) -> (t1 , t1)						
			(t1 -> t1) -> (t0 , t1) -> (t1 , t1)						
			(Eq t1) => (t1 -> t1) -> (t1 , t0) -> (t1 , t1)						
			(Eq t1) => (t1 -> t1) -> (t0 , t1) -> (t1 , t1)						
			(Ord t1) => (t1 -> t1) -> (t1 , t0) -> (t1 , t1)						
			(Ord t1) => (t1 -> t1) -> (t0 , t1) -> (t1 , t1)						
			(Eq t1) => (t1 -> t1) -> (t0 , t2) -> (t1 , t1)						
firstJust	a -> [Maybe a] -> a	4.548538928250874 [Just (-25.854469466152246),Just 1.1568666021212586,Just 51.93217818877708,Nothing,Nothing,Just (-16.703437870170365),Just 22.58064098167859,Just (-5.398774777279328)] ==> -25.854469466152246	b1 -> [Maybe (b1)] -> b1	1	1	413	85	1	2
			Double -> [Maybe (Double)] -> Double						
			(Num b1) => b1 -> [Maybe (b1)] -> b1						
			(Ord b1) => b1 -> [Maybe (b1)] -> b1						
			(Eq b1) => b1 -> [Maybe (b1)] -> b1						
			b1 -> [Maybe (b2)] -> b1						
			Double -> [Maybe (b1)] -> Double						
			Double -> [Maybe (b1)] -> b1						
			b1 -> [Maybe (Double)] -> b1						
			(Num b2) => b1 -> [Maybe (b2)] -> b1						
firstJust	a -> [Maybe a] -> a	4.548538928250874 [Just (-25.854469466152246),Just 1.1568666021212586,Just 51.93217818877708,Nothing,Nothing,Just (-16.703437870170365),Just 22.58064098167859,Just (-5.398774777279328)] ==> -25.854469466152246	t0 -> [Maybe (t0)] -> t0	2	1	24	9	1	2
		"}" [Just "2\"\CANQ",Nothing,Just "\SOo?dA\ETB"] ==> "2\"\CANQ"	(Eq t0) => t0 -> [Maybe (t0)] -> t0						
			(Ord t0) => t0 -> [Maybe (t0)] -> t0						
			t0 -> [Maybe (t1)] -> t0						
			(Eq t0) => t0 -> [Maybe (t1)] -> t0						
			(Ord t0) => t0 -> [Maybe (t1)] -> t0						
firstJust	a -> [Maybe a] -> a	4.548538928250874 [Just (-25.854469466152246),Just 1.1568666021212586,Just 51.93217818877708,Nothing,Nothing,Just (-16.703437870170365),Just 22.58064098167859,Just (-5.398774777279328)] ==> -25.854469466152246	t1 -> [Maybe (t1)] -> t1	3	1	24	9	1	2
		"}" [Just "2\"\CANQ",Nothing,Just "\SOo?dA\ETB"] ==> "2\"\CANQ"	(Eq t1) => t1 -> [Maybe (t1)] -> t1						
		11.516755675594167 [Just 6.766160936547583,Nothing] ==> 6.766160936547583	(Ord t1) => t1 -> [Maybe (t1)] -> t1						
			t1 -> [Maybe (t0)] -> t1						
			(Eq t1) => t1 -> [Maybe (t0)] -> t1						
			(Ord t1) => t1 -> [Maybe (t0)] -> t1						
mapEither	(a -> Either b c) -> [a] -> ([b], [c])	(\x -> case x of 'a' -> Left ','; ' ' -> Left '\91079'; 'b' -> Left 'O'; 'A' -> Right "3?8"; _ -> error "unhandled";) "!\DC1" ==> ("\SYN",["V\243857\109954;d"])	(b1 -> Either (b1) ([b1])) -> [b1] -> ([b1] , [[b1]])	1	NO ANSWER	434305	42931	3	2
			(Char -> Either (Char) ([Char])) -> [Char] -> ([Char] , [[Char]])						
			(Ord b1) => (b1 -> Either (b1) ([b1])) -> [b1] -> ([b1] , [[b1]])						
			(Eq b1) => (b1 -> Either (b1) ([b1])) -> [b1] -> ([b1] , [[b1]])						
			(b1 -> Either (b1) ([b2])) -> [b1] -> ([b1] , [[b1]])						
			(b1 -> Either (b1) ([b2])) -> [b1] -> ([b1] , [[b2]])						
			(b1 -> Either (b1) ([b2])) -> [b1] -> ([b2] , [[b1]])						
			(b1 -> Either (b1) ([b2])) -> [b1] -> ([b2] , [[b2]])						
			(b1 -> Either (b1) (c1)) -> [b1] -> ([b1] , [[b1]])						
			(b1 -> Either (b1) (c1)) -> [b1] -> ([b1] , [c1])						
mapEither	(a -> Either b c) -> [a] -> ([b], [c])	(\x -> case x of 'a' -> Left ','; ' ' -> Left '\91079'; 'b' -> Left 'O'; 'A' -> Right "3?8"; _ -> error "unhandled";) "!\DC1" ==> ("\SYN",["V\243857\109954;d"])	(b1 -> Either (b1) (t0)) -> [b1] -> ([b1] , [t0])	2	NO ANSWER	65475	7060	3	2
		(\x -> case x of 'a' -> Right 1.7841082327133488; ' ' -> Left '\1109992'; 'b' -> Right (-0.677319884794873); 'A' -> Left 'U'; _ -> error "unhandled";) "E" ==> ("",[1.572097486931864])	(Char -> Either (Char) (t0)) -> [Char] -> ([Char] , [t0])						
			(t0 -> Either (t0) (t0)) -> [t0] -> ([t0] , [t0])						
			(Eq t0) => (b1 -> Either (b1) (t0)) -> [b1] -> ([b1] , [t0])						
			(Ord t0) => (b1 -> Either (b1) (t0)) -> [b1] -> ([b1] , [t0])						
			(Ord b1) => (b1 -> Either (b1) (t0)) -> [b1] -> ([b1] , [t0])						
			(Eq b1) => (b1 -> Either (b1) (t0)) -> [b1] -> ([b1] , [t0])						
			(Eq t0) => (Char -> Either (Char) (t0)) -> [Char] -> ([Char] , [t0])						
			(Ord t0) => (Char -> Either (Char) (t0)) -> [Char] -> ([Char] , [t0])						
			(b1 -> Either (b2) (t0)) -> [b1] -> ([b1] , [t0])						
mapEither	(a -> Either b c) -> [a] -> ([b], [c])	(\x -> case x of 'a' -> Left ','; ' ' -> Left '\91079'; 'b' -> Left 'O'; 'A' -> Right "3?8"; _ -> error "unhandled";) "!\DC1" ==> ("\SYN",["V\243857\109954;d"])	(t1 -> Either (t1) (t1)) -> [t1] -> ([t1] , [t1])	3	NO ANSWER	336	48	3	2
		(\x -> case x of 'a' -> Right 1.7841082327133488; ' ' -> Left '\1109992'; 'b' -> Right (-0.677319884794873); 'A' -> Left 'U'; _ -> error "unhandled";) "E" ==> ("",[1.572097486931864])	(Eq t1) => (t1 -> Either (t1) (t1)) -> [t1] -> ([t1] , [t1])						
		(\x -> case x of "" -> Right ""; "a" -> Right ""; "aa" -> Left "\GSN\52034\GS\SO"; " " -> Right "\554092\nQb\ETX"; _ -> error "unhandled";) ["","y~4N\744616\ESC\914105u","\RS","#"] ==> (["U!g4","\151098eHL"],["","\663741!{s\890049"])	(Ord t1) => (t1 -> Either (t1) (t1)) -> [t1] -> ([t1] , [t1])						
			(t1 -> Either (t1) (t0)) -> [t1] -> ([t1] , [t1])						
			(t1 -> Either (t0) (t1)) -> [t1] -> ([t1] , [t1])						
			(Eq t1) => (t1 -> Either (t1) (t1)) -> [t0] -> ([t1] , [t1])						
			(Eq t1) => (t1 -> Either (t1) (t0)) -> [t1] -> ([t1] , [t1])						
			(Eq t1) => (t1 -> Either (t0) (t1)) -> [t1] -> ([t1] , [t1])						
			(Ord t1) => (t1 -> Either (t1) (t1)) -> [t0] -> ([t1] , [t1])						
			(Ord t1) => (t1 -> Either (t1) (t0)) -> [t1] -> ([t1] , [t1])						
mapMaybes	(a -> Maybe b) -> [a] -> Maybe b	(\x -> case x of "" -> Just 'M'; "a" -> Just '\ETX'; "aa" -> Nothing; " " -> Nothing; _ -> error "unhandled";) ["a","","k"] ==> Just '\ETX'	([b1] -> Maybe (b1)) -> [[b1]] -> Maybe (b1)	1	7	3907	1151	2	2
			([Char] -> Maybe (Char)) -> [[Char]] -> Maybe (Char)						
			(Ord b1) => ([b1] -> Maybe (b1)) -> [[b1]] -> Maybe (b1)						
			(Eq b1) => ([b1] -> Maybe (b1)) -> [[b1]] -> Maybe (b1)						
			([b1] -> Maybe (b2)) -> [[b1]] -> Maybe (b1)						
			([b1] -> Maybe (b2)) -> [[b1]] -> Maybe (b2)						
			(b1 -> Maybe (c1)) -> [b1] -> Maybe (c1)						
			([Char] -> Maybe (Char)) -> [[b1]] -> Maybe (Char)						
			([Char] -> Maybe (Char)) -> [[b1]] -> Maybe (b1)						
			([Char] -> Maybe (Char)) -> [b1] -> Maybe (Char)						
mapMaybes	(a -> Maybe b) -> [a] -> Maybe b	(\x -> case x of "" -> Just 'M'; "a" -> Just '\ETX'; "aa" -> Nothing; " " -> Nothing; _ -> error "unhandled";) ["a","","k"] ==> Just '\ETX'	([b1] -> Maybe (t0)) -> [[b1]] -> Maybe (t0)	2	2	1425	381	2	2
		(\x -> case x of "" -> Just 0; "a" -> Just 1; "aa" -> Just (-1); " " -> Nothing; _ -> error "unhandled";) ["","Dg\NAK\825614Y\ETBAJ","V.X4\486007\515107-\SOHz","\ETBoTa*c:t#","m",""] ==> Just 0	(b1 -> Maybe (t0)) -> [b1] -> Maybe (t0)						
			([Char] -> Maybe (t0)) -> [[Char]] -> Maybe (t0)						
			([t0] -> Maybe (t0)) -> [[t0]] -> Maybe (t0)						
			(t0 -> Maybe (t0)) -> [t0] -> Maybe (t0)						
			(Eq t0) => ([b1] -> Maybe (t0)) -> [[b1]] -> Maybe (t0)						
			(Ord t0) => ([b1] -> Maybe (t0)) -> [[b1]] -> Maybe (t0)						
			(Ord b1) => ([b1] -> Maybe (t0)) -> [[b1]] -> Maybe (t0)						
			(Eq b1) => ([b1] -> Maybe (t0)) -> [[b1]] -> Maybe (t0)						
			(Eq t0) => (b1 -> Maybe (t0)) -> [b1] -> Maybe (t0)						
mapMaybes	(a -> Maybe b) -> [a] -> Maybe b	(\x -> case x of "" -> Just 'M'; "a" -> Just '\ETX'; "aa" -> Nothing; " " -> Nothing; _ -> error "unhandled";) ["a","","k"] ==> Just '\ETX'	([b1] -> Maybe (t1)) -> [[b1]] -> Maybe (t1)	3	2	1425	381	2	2
		(\x -> case x of "" -> Just 0; "a" -> Just 1; "aa" -> Just (-1); " " -> Nothing; _ -> error "unhandled";) ["","Dg\NAK\825614Y\ETBAJ","V.X4\486007\515107-\SOHz","\ETBoTa*c:t#","m",""] ==> Just 0	(b1 -> Maybe (t1)) -> [b1] -> Maybe (t1)						
		(\x -> case x of "" -> Just (-19.45902128579246); "a" -> Just (-15.02910451794634); "aa" -> Nothing; " " -> Just 5.892419829712773; _ -> error "unhandled";) ["\342461\541013g","\604771\ACKh\ESC\b","","-\28128\ACKlx","\USC\ETX|"] ==> Just 21.522537453092383	([Char] -> Maybe (t1)) -> [[Char]] -> Maybe (t1)						
			([t1] -> Maybe (t1)) -> [[t1]] -> Maybe (t1)						
			(t1 -> Maybe (t1)) -> [t1] -> Maybe (t1)						
			(Eq t1) => ([b1] -> Maybe (t1)) -> [[b1]] -> Maybe (t1)						
			(Ord t1) => ([b1] -> Maybe (t1)) -> [[b1]] -> Maybe (t1)						
			(Ord b1) => ([b1] -> Maybe (t1)) -> [[b1]] -> Maybe (t1)						
			(Eq b1) => ([b1] -> Maybe (t1)) -> [[b1]] -> Maybe (t1)						
			(Eq t1) => (b1 -> Maybe (t1)) -> [b1] -> Maybe (t1)						
mergeEither	Either a (Either a b) -> Either a b	Left 'r' ==> Left 'r'	Either (b1) (b1) -> Either (b1) (b1)	1	NO ANSWER	27	18	2	1
			(Ord b1) => Either (b1) (b1) -> Either (b1) (b1)						
			(Eq b1) => Either (b1) (b1) -> Either (b1) (b1)						
			Either (b1) (b2) -> Either (b2) (b2)						
			Either (Char) (b1) -> Either (b1) (b1)						
			Either (b1) (b1) -> Either (Char) (b1)						
			(Ord b2) => Either (b1) (b2) -> Either (b2) (b2)						
			(Eq b2) => Either (b1) (b2) -> Either (b2) (b2)						
			(Ord b1) => Either (b1) (b2) -> Either (b2) (b2)						
			(Eq b1) => Either (b1) (b2) -> Either (b2) (b2)						
mergeEither	Either a (Either a b) -> Either a b	Left 'r' ==> Left 'r'	Either (b1) (Either (b1) (c1)) -> Either (b1) (c1)	2	1	1619	358	2	1
		Right (Right (-5.056958330336663)) ==> Right (-5.056958330336663)	Either (b1) (Either (c1) (c1)) -> Either (b1) (c1)						
			Either (Char) (Either (b1) (b1)) -> Either (Char) (b1)						
			Either (b1) (Either (b1) (Double)) -> Either (b1) (Double)						
			(Num c1) => Either (b1) (Either (b1) (c1)) -> Either (b1) (c1)						
			(Num c1) => Either (b1) (Either (c1) (c1)) -> Either (b1) (c1)						
			(Ord c1) => Either (b1) (Either (b1) (c1)) -> Either (b1) (c1)						
			(Ord c1) => Either (b1) (Either (c1) (c1)) -> Either (b1) (c1)						
			(Eq c1) => Either (b1) (Either (b1) (c1)) -> Either (b1) (c1)						
			(Eq c1) => Either (b1) (Either (c1) (c1)) -> Either (b1) (c1)						
mergeEither	Either a (Either a b) -> Either a b	Left 'r' ==> Left 'r'	Either (t0) (Either (t0) (u1)) -> Either (t0) (u1)	3	1	672	204	2	1
		Right (Right (-5.056958330336663)) ==> Right (-5.056958330336663)	Either (t0) (Either (u1) (u1)) -> Either (t0) (u1)						
		Left 0 ==> Left 0	Either (t0) (Either (t0) (Double)) -> Either (t0) (Double)						
			Either (t0) (Either (t0) (t0)) -> Either (t0) (t0)						
			(Eq t0) => Either (t0) (Either (t0) (u1)) -> Either (t0) (u1)						
			(Eq t0) => Either (t0) (Either (u1) (u1)) -> Either (t0) (u1)						
			(Ord t0) => Either (t0) (Either (t0) (u1)) -> Either (t0) (u1)						
			(Ord t0) => Either (t0) (Either (u1) (u1)) -> Either (t0) (u1)						
			(Num u1) => Either (t0) (Either (t0) (u1)) -> Either (t0) (u1)						
			(Num u1) => Either (t0) (Either (u1) (u1)) -> Either (t0) (u1)						
multiApp	(a -> b -> c) -> (a -> b) -> a -> c	(\x y -> case (x,y) of (0,"") -> 8; (0,"a") -> -5; (1,"") -> 8; (0,"aa") -> 1; _ -> error "unhandled";) (\x -> case x of 0 -> "',Q"; 1 -> "u2"; -1 -> "\398155(\200273\241114"; 2 -> " \156934Z"; _ -> error "unhandled";) 3 ==> 3	(b1 -> [c1] -> b1) -> (b1 -> [c1]) -> b1 -> b1	1	NO ANSWER	1366871	254309	3	3
			(b1 -> c1 -> b1) -> (b1 -> c1) -> b1 -> b1						
			(Int -> [b1] -> Int) -> (Int -> [b1]) -> Int -> Int						
			(Int -> b1 -> Int) -> (Int -> b1) -> Int -> Int						
			(b1 -> [Char] -> b1) -> (b1 -> [Char]) -> b1 -> b1						
			(Int -> [Char] -> Int) -> (Int -> [Char]) -> Int -> Int						
			(Ord c1) => (b1 -> [c1] -> b1) -> (b1 -> [c1]) -> b1 -> b1						
			(Eq c1) => (b1 -> [c1] -> b1) -> (b1 -> [c1]) -> b1 -> b1						
			(Ord c1) => (b1 -> c1 -> b1) -> (b1 -> c1) -> b1 -> b1						
			(Eq c1) => (b1 -> c1 -> b1) -> (b1 -> c1) -> b1 -> b1						
multiApp	(a -> b -> c) -> (a -> b) -> a -> c	(\x y -> case (x,y) of (0,"") -> 8; (0,"a") -> -5; (1,"") -> 8; (0,"aa") -> 1; _ -> error "unhandled";) (\x -> case x of 0 -> "',Q"; 1 -> "u2"; -1 -> "\398155(\200273\241114"; 2 -> " \156934Z"; _ -> error "unhandled";) 3 ==> 3	(t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1	2	1	53217	2988	3	3
		(\x y -> case (x,y) of ('a','a') -> -1; ('a',' ') -> -1; (' ','a') -> -7; ('a','b') -> 1; _ -> error "unhandled";) (\x -> case x of 'a' -> 'P'; ' ' -> '\SO'; 'b' -> '\981263'; 'A' -> '\EM'; _ -> error "unhandled";) '\986151' ==> -5	(t0 -> t1 -> Int) -> (t0 -> t1) -> t0 -> Int						
			(t0 -> t1 -> t0) -> (t0 -> t1) -> t0 -> t0						
			(t0 -> t1 -> t1) -> (t0 -> t1) -> t0 -> t1						
			(Eq t0) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
			(Ord t0) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
			(Eq t1) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
			(Ord t1) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
			(Num u1) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
			(Ord u1) => (t0 -> t1 -> u1) -> (t0 -> t1) -> t0 -> u1						
multiApp	(a -> b -> c) -> (a -> b) -> a -> c	(\x y -> case (x,y) of (0,"") -> 8; (0,"a") -> -5; (1,"") -> 8; (0,"aa") -> 1; _ -> error "unhandled";) (\x -> case x of 0 -> "',Q"; 1 -> "u2"; -1 -> "\398155(\200273\241114"; 2 -> " \156934Z"; _ -> error "unhandled";) 3 ==> 3	(t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1	3	1	53217	2988	3	3
		(\x y -> case (x,y) of ('a','a') -> -1; ('a',' ') -> -1; (' ','a') -> -7; ('a','b') -> 1; _ -> error "unhandled";) (\x -> case x of 'a' -> 'P'; ' ' -> '\SO'; 'b' -> '\981263'; 'A' -> '\EM'; _ -> error "unhandled";) '\986151' ==> -5	(t2 -> t0 -> Int) -> (t2 -> t0) -> t2 -> Int						
		(\x y -> case (x,y) of ("",'a') -> 4; ("",' ') -> 4; ("a",'a') -> 3; ("",'b') -> -3; _ -> error "unhandled";) (\x -> case x of "" -> 'Z'; "a" -> '\102857'; "aa" -> '\695198'; " " -> 'x'; _ -> error "unhandled";) "m\SOHy\820458a" ==> 3	(t2 -> t0 -> t0) -> (t2 -> t0) -> t2 -> t0						
			(t2 -> t0 -> t2) -> (t2 -> t0) -> t2 -> t2						
			(Eq t2) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
			(Ord t2) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
			(Eq t0) => (t2 -> t0 -> u1) -> (t2 -> t0) -> t2 -> u1						
